diaglocalcode,diagnosis
DC5102,Granular Cell Tumor NOS
DC5103,Abdominal rigidity
DC5104,Other vascular disorders of iris and ciliary body
DC5105,Malignant neoplasm of upper inner quadrant of breast
DC5106,Injury of popliteal vein
DC5107,Agent resistant to other vancomycin-related antibiotic
DC5108,Other chronic sinusitis
DC5109,Spondylosis_ unspecified_ thoracolumbar region
DC5112,Other osteomyelitis_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC5113,Malignant neoplasm of cerebellum
DC5115,Complications of intrauterine procedures_ NEC
DC5116,Gliomatosis Cerebri
DC5117,Chronic apical periodontitis
DC5119,Traumatic amputation of one toe
DC512,Familial erythrocytosis
DC5121,Ankylosis of teeth
DC5122,Adjustment disorders
DC5123,Senile cataract_ morgagnian type
DC5124,Stereotyped movement disorders(������)
DC5126,Acute myelofibrosis
DC5128,Cavernous Hemangioma (D18.0)
DC513,Acute epiglottitis
DC5131,Embolism and thrombosis of other and unspecified parts of aorta
DC5132,Varicose veins of lower extremities with both ulcer and inflammation
DC5133,Tension-type headache
DC5134,Influenza with pneumonia_ other influenza virus identified
DC5135,Labour and delivery complicated by meconium in amniotic fluid
DC5136,Injury of extensor muscle and tendon of other finger(s) at forearm level
DC5139,Disease of stomach and duodenum_ unspecified
DC514,Carcinoma in situ skin of trunk
DC5140,Injury of extensor muscle and tendon of other finger at wrist and hand level_ Other and unspecified injury
DC5141,Heberden's nodes (with arthropathy)
DC5143,Non-insulin-dependent diabetes mellitus_ with unspecified complications
DC5146,Foreign object accidentally left in body during surgical operation
DC5148,Echinococcus multilocularis infection of liver
DC5150,Contact with and exposure to viral hepatitis
DC5151,Recurrent depressive disorder_ current episode severe with psychotic symptoms
DC5152,Fracture of lower end of both ulna and radius_ closed
DC5155,Abscess of mediastinum
DC5157,Moderate pre-eclampsia
DC5158,Benign neoplasm of conjunctiva
DC5160,Abnormal finding on antenatal screening of mother_ unspecified
DC5163,Foreign body in alimentary tract_ part unspecified
DC5165,Embolism and thrombosis of vena cava
DC5166,Neoplasm of uncertain or unknown behavior of urinary organ_ unspecified
DC517,Fracture of first cervical vertebra_ open
DC5171,Other seborrhoeic dermatitis
DC5174,Stress fracture NEC_ site unspecified
DC5175,Open fracture of mandible
DC5176,Discitis_ unspecified_ thoracic region
DC5177,Secondary malignant neoplasm of lung
DC518,Cataract_ unspecified
DC5180,Other specified noninflammatory disorders of cervix uteri
DC5182,Plasmodium vivax malaria without complication
DC5183,Malignant neoplasm of upper third of esophagus
DC5184,Eustachian salpingitis
DC5187,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system_ sports and athletics area
DC5189,Other superficial injuries of back wall of thorax
DC5190,Acute hepatitis C
DC5191,Polyneuropathy in other endocrine and metabolic diseases
DC5192,Senile nuclear cataract
DC5193,Telangiectatic Osteosarcoma
DC5194,Amniotic fluid embolism
DC5195,Localized swelling_ mass and lump_ head
DC5196,Injury of other muscles and tendons at ankle and foot level
DC5199,Other injuries of unspecified body region
DC520,Rheumatism_ unspecified_ site unspecified
DC5200,Hodgkin's disease_ unspecified
DC5202,Vitreous hemorrhage in diseases classified elsewhere
DC5204,Sequelae of toxic effects of substances chiefly nonmedicinal as to source
DC5206,Crushing injury of other parts of ankle and foot
DC5207,Traumatic haemothorax _with open wound into thoracic cavity
DC5210,Re-entry ventricular arrhythmia
DC5211,Insulin dependent diabetes mellitus with coma
DC5212,Inflammatory liver disease_ unspecified
DC5214,Necrotizing vasculopaty_ unspecified
DC5215,Malunion of fracture_ lower leg (fibula_ tibia_ knee joint)
DC5216,Chondroma NOS
DC5217,Disorders of excessive somnolence [hypersomnias]
DC5218,Pulmonary heart disease_ unspecified
DC5219,Sarcoidosis of lymph nodes
DC5220,Occlusion and stenosis of multiple and bilateral cerebral arteries
DC5221,Androgenic alopecia_ unspecified
DC5224,Rupture of bladder_ nontraumatic
DC5225,Multiple injuries of lower leg
DC5227,Ganglioneuroma
DC5229,Polyarthritis_ unspecified_ hand
DC523,Optic neuritis
DC5233,Biliary cyst
DC5234,Benign neoplasm of spinal meninges
DC5236,Acral Lentiginous Melanoma_ Malignant
DC5237,Spinal and epidural anesthesia-induced headache during the puerperium
DC5238,Monoplegia of lower limb
DC524,Vitamin B12 defidiency anemia  due to selective vitamin B12 malabsorption with proteinuria
DC5242,Follow-up examination after radiotherapy for malignant neoplasm
DC5243,Cerebral infarction due to embolism of precerebral arteries
DC5244,Sequelae of fracture of skull and facial bones
DC5245,Other internal derangement of knee_ other knee structure
DC5248,Extravasation of urine
DC5249,Acute delta-(super)infection of hepatitis B carrier
DC525,Acute pharyngitis due to other specified organisms
DC5251,Other developmental disorders of scholastic skills
DC5252,Other specified chronic obstrucitive pulmonary disease
DC5254,Thalassemia_ unspecified
DC5256,Other chronic cystitis
DC5257,Iodine-deficiency-related diffuse (endemic) goitre
DC5258,Other osteonecrosis_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC5259,Plasmodium falciparum malaria_ unspecified
DC526,Crushing injury of other parts of neck
DC5260,Passenger of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
DC5263,Other and unspecified genitourinary tract infection in pregnancy
DC5264,Besnier's prurigo
DC5265,Chronic or unspecified gastric ulcer with hemorrhage
DC5267,Contact with hornets_ wasps and bees_ home
DC5268,Aphonia(�����)
DC5269,Other pulmonary valve disorders
DC527,Supervision of normal pregnancy_ unspecified
DC5270,Subarachnoid hemorrhage from basilar artery
DC5271,Foodborne staphylococcal intoxication
DC5273,Abdominal aortic aneurysm_ ruptured
DC5274,Pedestrian injured in collision with car_ pick-up truck or van in unspecified whether traffic or nontraffic accident
DC5275,Tuberculosis of bone _ site unspecified
DC5279,Crushing injury of other and unspecified parts of abdomen_ lower back and pelvis
DC5284,Duodenitis
DC5286,Intestinal obstruction due to inspissated milk
DC5288,Other diseases of thymus
DC5289,Poisoning by and exposure to antiepileptic_ sedative-hypnotic_ antiparkinsonism and psychotropic drugs_ undetermined intent_ NEC_ unspecified place
DC529,Malnutrition related diabetes mellitus with other specified complications
DC5291,Injury of unspecified nerves at ankle and foot level
DC5292,Closed fracture of malar and maxillary bones
DC5295,Osteomyelofibrosis
DC5296,Adenoviral enteritis
DC5297,Drowning and submersion while in bath-tub_ home
DC53,Contact with hornets_ wasps and bees_ farm
DC530,Abnormal findings on diagnostic imaging of liver and biliary tract
DC5300,Foreign body granuloma of skin and subcutaneous tissue
DC5301,Other fracture of base of skull
DC5302,Injury of unspecified blood vessels at abdomen_ lower back and pelvis level
DC5303,Disorder of lacrimal system_unspecified
DC5305,Disorders of urea cycle metabolism
DC5306,Myoglobinuria
DC5307,Neonatal urinary tract infection
DC5309,Benign neoplasm of hypopharynx
DC531,Other chronic osteomyelitis_ lower leg (fibula_ tibia_ knee joint)
DC5311,Arthritis_ unspecified_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC5312,Unspecified complications of procedure
DC5314,Post-traumatic gonarthrosis_ bilateral
DC5315,Psammomatous Meningioma
DC5316,Ulcer of anus and rectum
DC5318,Superficial injury of scalp
DC5320,Other specified bacterial foodborne intoxications
DC5322,Acute pansinusitis
DC5323,Osteomyelitis of vertebra_ site unspecified
DC5327,Hyperparathyroidism_ unspecified
DC5328,Primary ovarian failure
DC5329,Other specified disorders of pigmentation
DC5330,Communicating hydrocephalus
DC5332,Calculus of kidney
DC5333,Hypertrophy of tonsils with hypertrophy of adenoids
DC5335,Occlusion and stenosis of vertebral artery
DC5339,Diffuse brain injury with open intracranial wound
DC534,Mosquito-borne viral encephalitis_ unspecified
DC5340,Anisometropia and aniseikonia
DC5341,Hepatic failure_ unspecified
DC5342,Intestinal flukes
DC5343,Ganglioneuromatosis
DC5347,Intramural leiomyoma of uterus
DC5348,Chronic ischemic heart disease_ unspecified
DC5349,Urinary tract infection following delivery
DC5350,Urethral fistula
DC5351,Multiple superficial injuries of lower leg
DC5352,Abnormal uterine and vaginal bleeding_ unspecified
DC5355,Cauda equina syndrome
DC5356,Malignant neoplasm of overlapping lesion of digestive system
DC5357,Other primary thrombocytopenia
DC5359,Other lichen planus
DC5360,Other rupture of muscle(nontraumatic)_ forearm(radius_ ulna_ wrist joints)
DC5361,Other specified conditions of integument specific to fetus and newborn
DC5365,Benign neoplasm of ureter
DC5367,Abscess of tendon sheath_ upper arm(humerus_ elbow joints)
DC5368,Malignant neoplasm of overlapping lesion of lip_ oral cavity and pharynx
DC5369,Atherosclerosis of renal artery
DC5373,Open fracture of clavicle
DC5378,Neonatal jaundice due to bleeding
DC5379,Other specified disorders of thyroid
DC538,Fracture of other parts of bony thorax_Closed
DC5380,Other enthesopathy of foot(metatarsus_ tarsus_ toes_ other joints in foot)
DC5381,Malignant neoplasm of lateral wall of nasopharynx
DC5383,Miliaria crystallina
DC5387,Seropositive rheumatoid arthritis_ unspecified_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC5389,Dry mouth_ unspecified
DC539,Toxic effect of carbone dioxide
DC5390,Obstructive hydrocephalus
DC5391,Obstetric trauma_ unspecified
DC5393,Intrasphincteric abscess
DC5394,Collapsed vertebra in diseases classified elsewhere_ sacral and sacrococcygeal region
DC5395,Malnutrition-related diabetes mellitus_ without complications
DC5396,Erosion of teeth
DC5397,Malignant neoplasm of endometrium
DC540,Injury of other and unspecified nerves at abdomen_ lower back and pelvis level
DC5400,Follow-up examination after unspecified treatment for other conditions
DC5401,Chalazion
DC5402,Other disorders of sclera and cornea diseases classified elsewhere
DC5407,Brenner Tumor_ Borderline Malignancy (D39.1)
DC5409,Malignant neoplasm of overlapping lesion of heart_ mediastinum and pleura
DC5410,Erythema annulare centrifugum
DC5411,Other specified intestinal infections
DC5412,Trigonitis
DC5413,Postmenopausal osteoporosis_ site unspecified
DC5414,Hypertensive heart disease with(congestive) heart failure
DC5415,Malignant neoplasm of cerebrum_ except lobes and ventricles
DC5416,Embolism and thrombosis of iliac artery
DC5417,Injury of superficial vein at shoulder and upper arm level
DC5418,Open fracture of rib
DC5420,Subsequent myocardial infarction of anterior wall
DC5422,Respiratory disorders_ unspecified
DC5424,Pupillary membranes
DC5425,Mammary duct ectasia
DC5426,Other specified counselling
DC5428,Melanoma in situ_ unspecified
DC5429,Moderate visual impairment_ binocular
DC543,Contact urticaria
DC5430,Disorder of eye and adnexa_ unspecified
DC5431,Acute nephritic syndrome with focal and segmental glomerular lesions
DC5432,Sedatives_ hypnotics and antianxiety drug_ unspecified causing adverse effects in therapeutic use
DC5434,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
DC5435,Closed fracture of pertrochanteric of femur
DC5437,Injury of other blood vessels at wrist and hand level
DC5439,Paratyphoid fever A
DC5440,Extramedullary plasmacytoma
DC5441,Contact with hypodermic needle_ other specified places
DC5442,Hookworm disease_ unspecified
DC5443,Gastric varices
DC5444,Benign neoplasm of other and ill-defined parts of digestive system
DC5445,Drowning and submersion while in bath-tub_ unspecified place
DC5447,Sequelae of intracerebral hemorrhage
DC5448,METASTATIC MUCOEPIDERMOID CARCINOMA
DC5450,Inflammatory disease of prostate_ unspecified
DC5451,Hepatomegaly_ NEC
DC5453,Malignant neoplasm of labium majus
DC5456,Benign intracranial hypertension
DC5457,Other hypertrophic cardiomyopathy
DC546,Endodermal Sinus Tumor
DC5460,Intraductal carcinoma in situ
DC5461,Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level
DC5466,Other articular cartilage disorders_ lower leg(fibula_ tibia_ knee joint)
DC5467,Stiffness of joint_ NEC_ forearm(radius_ ulna_ wrist joints)
DC5468,Other viral enteritis
DC5469,Fracture of medial malleolus_ closed
DC5470,Stiffness of joint_ NEC_ hand(carpus_ fingers_ metacarpus)
DC5471,Respiratory disorders in other diffuse connective tissue disorders
DC5472,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level
DC5473,Subserosal leiomyoma of uterus
DC5474,Sequelae of tuberculosis of other organs
DC5477,Other specified diseases of inner ear
DC5479,Other postprocedural respiratory disorders
DC5481,Other disorders of orbit
DC5482,Secondary malignant neoplasm of small intestine
DC5483,Toxic effect of methanol
DC5484,Nonallergic asthma
DC5485,Oligodendroglioma NOS
DC5486,Fracture of orbital floor_ open
DC5488,Pulmonary eosinophilia_ NEC
DC5489,Acute polymorphic psychotic disorder with symptoms of schizophrenia
DC549,Verrucous Papilloma
DC5494,Sprain and strain of wrist_ part unspecified
DC5495,Malignant neoplasm of axillary tail of breast
DC5496,Mixed anxiety and depressive disorder
DC5497,Iodine-deficiency-related multinodular (endemic) goitre
DC5499,Appetite depressants [anorectics] causing adverse effects in therapeutic use
DC550,Olecranon bursitis
DC5500,Spondylolisthesis_ site unspecified
DC5501,Recurrent and persistent hematuria_ unspecified
DC5502,Injury of long flexor muscle and tendon of thumb at wrist and hand level
DC5507,Neoplasm of uncertain or unknown behavior of breast
DC5509,Benign neoplasm of spinal cord
DC551,Tuberculous pleurisy_ confirmed bacteriologically and histologically
DC5510,Pure motor lacunar syndrome
DC5511,Varus deformity NEC_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC5513,Dyspnea
DC5514,Myelopathy in diseases classified elsewhere
DC5515,Complication of labour and delivery_ unspecified
DC5521,Open wound of lower leg_ part unsecified
DC5523,Malignant neoplasm of brain_ unspecified
DC5528,Localized adiposity
DC5529,Acute hepatitis E
DC5531,Other and unspecified atrioventricular block
DC5532,Subcutaneous fat necrosis due to birth injury
DC5533,Supervision of pregnancy with grand multiparity
DC5534,Medulloblastoma NOS (C71.6)
DC5535,Tetraplegia_ unspecified
DC5536,Fracture of tooth_ unspecified
DC5538,Failure and rejection of unspecified transplanted organ and tissue
DC5540,Ulcer of esophagus
DC5542,Travel and motion_ unspecified place
DC5543,Open fracture of lower end of radius
DC5545,Mastoiditis_ unspecified
DC5546,Otosclerosis involving oval window_ obliterative
DC5548,Multiple fracture of involving three ribs
DC555,Raynaud's syndrome
DC5551,Malignant hypertension
DC5552,Chronic or unspecified peptic ulcer_ site unspecified with both hemorrhage and perforation
DC5553,Other specified disorders of cartilage_ lower leg (fibula_ tibia_ knee joint)
DC5554,Polyarthritis_ unspecified_ other
DC5555,Inflammatory disorders of other specified male genital organs
DC5556,Injury of optic nerve and pathways
DC5557,Other specified noninflammatory disorders of uterus
DC5559,Other specified injuries of abdomen_ lower back and pelvis
DC5560,Respiratory disorders in other diseases classified elsewhere
DC5561,Poisoning by iminostilbenes
DC5562,Heat syncope
DC5564,Intracranial and intraspinal phlebitis and thrombophlebitis
DC5566,Other brachial plexus birth injuries
DC5568,Other hypertrophic disorders of skin
DC557,Varicose veins of lower extremities without ulcer or inflammation
DC5570,Postthrombotic syndrome
DC5571,Other serum reacitons
DC5572,Fracture of femoral condyle
DC5574,Neuromuscular scoliosis_ site unspecified
DC5575,Other chronic osteomyelitis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC5576,Carcinoma in situ respiratory system_ unspecified
DC5579,Specific developmental disorder of motor function
DC5582,Flaccid neuropathic bladder_ NEC
DC5584,Other specified disorders of bladder
DC5585,Postprocedural endocrine and metabolic disorder_ unspecified
DC5587,Follow-up examination after unspecified treatment for malignant neoplasm
DC5589,Disorder of skin and subcutaneous tissue related to radiation_ unspecified
DC559,Radiotherapy session
DC5591,Mixed simple and mucopurulent chronic bronchitis
DC5592,Other secondary kyphosis_ site unspecified
DC5594,Open wound of scrotum and testes
DC5595,Malignant neoplasm of other specified female genital organs
DC5596,Malignant neoplasm of nasal cavity
DC5598,Special screening examination for neoplasm of prostate
DC5599,Germ cell tumor_ non-seminomatous
DC56,Sequelae of injuries involving multiple body regions
DC560,Fracture of shafts of both ulna and radius_ open
DC5601,Other synovitis and tenosynovitis_ lower leg(fibula_ tibia_ knee joint)
DC5603,Malignant neoplasm of other parts of pancreas
DC5605,Chronic laryngitis
DC5606,Labour and delivery complicated by other evidence of fetal stress
DC5608,Nail disorder_ unspecified
DC5609,Rheumatoid lung disease
DC561,Generalized edema
DC5610,Other and unspecified disturbances of smell and taste
DC5611,Postviral fatigue syndrome
DC5612,Poisoning by agent primarily affecting the gastrointestinal system_ unspecified
DC5613,Sequelae of adverse effects caused by drugs_ medicaments and biological substances in therapeutic use
DC5615,Polyneuropathy in nutritional deficiency
DC5617,Post-traumatic arthrosis of other joints_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC5619,Arthritis_ unspecified_ multiple sites
DC562,Disorder of patella_ unspecified
DC5620,Fracture of clavicle due to birth injury
DC5621,Other and unspecified disorders of breast associated with childbirth
DC5624,Other appendicitis
DC5626,Cerebral infarction due to cerebral venous thrombosis_ nonpyogenic
DC5627,Other disorders of nervous system_ NEC
DC5628,Other specified kernicterus
DC5630,Acute myeloid leukemia
DC5632,Abnormal histological findings in specimens from female genital organs
DC5633,Mitral stenosis
DC5634,Driver of motorcycle injured in collision with fixed or stationary object in traffic accident
DC5638,Seborrhea capitis
DC5639,Tuberculosis of ear
DC564,Gestational proteinuria
DC5641,Glaucoma secondary to eye inflammation
DC5642,Localization related (focal_ partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
DC5643,Toxic effect of noxious substances eaten as food_ unspecified
DC5644,Shoulder lesion_ unspecified
DC5645,Generalized pustular psoriasis
DC5646,carcinoid_ benign
DC5647,Pathological fracture NEC_ site unspecified
DC5648,Neuropathic spondylopathy_ lumbar region
DC5650,Other single delivery by cesarean section
DC5651,Other ulcerative colitis
DC5654,Foreign body in nostril
DC5655,Concussion and edema of lumbar spinal cord
DC5656,Carrier of intestinal other infectious disease
DC5664,Giardiasis [lambliasis]
DC5666,Pulmonary embolism
DC5667,Arthrosis_ unspecified_ hand(carpus_ fingers_ metacarpus)
DC5668,Rubella without complication
DC5669,Burn of third degree of head and neck
DC5670,Unspecified as acute or chronic peptic ulcer_ site unspecified without hemorrhage or perforation
DC5671,Right fascicular block
DC5672,Unspecified acute nephritic syndrome
DC5673,Benign neoplasm of ciliary body
DC5674,Insertion of (intrauterine) contraceptive device
DC5675,Deposits[accretions] on teeth
DC5676,Isolated proteinuria
DC5679,Pneumococcal meningitis
DC568,Transitional Cell Carcinoma NOS
DC5681,Other diseases of tongue
DC5682,Neuralgia and neuritis_ unspecified_ lower leg (fibula_ tibia_ knee joint)
DC5683,Cystic fibrosis_ unspecified
DC5684,Erosion and ectropion of cervix uteri
DC5685,Sepsis due to Staphylococcus aureus
DC5686,Other osteomyelitis_ multiple sites
DC5688,Viral vaccines causing adverse effects in therapeutic use
DC5689,Cytomegaloviral hepatitis
DC569,Cholesterolosis of gallbladder
DC5690,Cholesteatoma of external ear
DC5692,Congenital hypotonia
DC5694,Ankylosing spondylitis_ cervical region
DC5696,Poisoning by anticoagulants
DC5697,Solitary bone cyst_ site unspecified
DC5698,Penetrating wound of orbit without mention of foreign body
DC5699,Fever_ unspecified
DC57,Abnormal findings on diagnostic imaging of breast
DC5702,Stromal tumor_ benign
DC5703,Other tetanus
DC5711,Herpesviral infection_ unspecified
DC5712,Pre-existing diabetes mellitus_ unspecified in pregnancy
DC5713,Open wound of neck_ part unspecified
DC5714,Transitory neonatal hyperthyroidism
DC5715,Malignant neoplasm of retina
DC5716,Induced delusional disorder
DC5718,Exposure to electric transmission lines_ unspecified place
DC572,Mixed conductive and sensorineural hearing loss_ bilateral
DC5720,Pulmonary collapse
DC5722,Other specified malignant neoplasm of lymphoid_ hematopoietic and related tissue
DC5723,Malunion of fracture_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC5726,Sprain and strain of toe(s)
DC5729,Abscess of tendon sheath_ lower leg(fibula_ tibia_ knee joint)
DC573,Dislocation of elbow_ unspecified
DC5731,Open wound of finger(s) without damage to nail
DC5732,Melanocytic nevus of eyelid_ including canthus
DC5733,Malignant neoplasm of base of tongue
DC5734,Exposure to other specified factors_ street and highway
DC5735,Hemorrhage and hematoma complicating a procedure_ NEC
DC5737,Toxic effect of contact with snake venom
DC5738,Embryonal Sarcoma
DC574,Other chronic pain
DC5740,Tear of meniscus_ current
DC5741,Acute hemorrhagic gastritis
DC5743,Abnormal immunological finding in serum_ unspecified
DC5744,Moderate visual impairment_ monocular
DC5747,Pain in limb_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC5748,Nk/Tcell Lymphoma
DC5749,Abnormal hematological finding on antenatal screening of mother
DC575,Antenatal screening for raised alphafetoprotein level
DC5750,Other chronic diseases of tonsils and adenoids
DC5752,Cystic partially differentiated nephroblastoma
DC5753,Subarachnoid hemorrhage from anterior communicating artery
DC5754,Other specified injuries of wrist and hand
DC5755,Thecoma_ Malignant (C56)
DC5758,Neoplasm of uncertain or unknown behavior of digestive organ_ unspecified
DC5761,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident
DC5762,Hereditary elliptocytosis
DC5765,Mechanical complication of other vascular grafts
DC5766,Encephalitis_ myelitis and encephalomyelitis_ unspecified
DC5767,Derangement of meniscus due to old tear or injury_ Posterior cruciate ligament or Posterior horn of medial meniscus
DC577,Panniculitis_ unspecified_ lower leg (fibula_ tibia_ knee joint)
DC5770,Zygomycosis_ unspecified
DC5774,Other adverse food reactions_ NEC
DC5775,Injury of pancreas_ with open wound into cavity
DC5776,Vitreous prolapse
DC5777,Other dental caries
DC5779,Other postprocedural disorders of genitourinary system
DC578,Injury of multiple muscle and tendons at ankle and foot level_ Laceration
DC5782,Dislocations_ sprains and stranis involving other combinations of body regions
DC5783,Hemiplegia_ unspecified
DC5786,Osteoporosis in endocrine disorders_ multiple sites
DC5788,Crushing injury of other parts of forearm
DC5789,Xerosis cutis
DC579,Dermatofibrosarcoma NOS
DC5791,Other myositis_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC5794,Uterovaginal prolapse_ unspecified
DC5795,Other specified diabetes mellitus with multiple complications
DC5798,Other osteonecrosis_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC5799,Amyloidosis_ unspecified
DC58,Contusion of finger(s) with damage to nail
DC580,Anosmia
DC5801,Moderate vaginal dysplasia
DC5803,Other reaction to spinal and lumbar puncture
DC5804,Chronic meningitis
DC5805,Sequelae of motor-vehicle accidents
DC5807,Residual foreign body in soft tissue_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC581,Pain in limb_ upper arm (humerus_ elbow joints)
DC5811,Localized swelling_ mass and lump_ upper limb
DC5812,Other retinal vascular occlusions
DC5813,Primary dysmenorrhea
DC5815,Liver Cell Adenoma (D13.4)
DC5817,Aneurysm of aorta in diseases classified elsewhere
DC5818,Fracture of shaft of humerus_ open
DC582,Traumatic amputation of foot at ankle level
DC5820,Bacterial foodborne intoxication_ unspecified
DC5821,Fall on same level from slipping_ tripping and stumbling_ sports and athletic area
DC5822,Non-insulin dependent diabetes mellitus with multiple complications
DC5825,Unspecified mental disorder due to brain damage and dysfunction and to physical disease
DC5828,Vertigo of central origin
DC5830,Thrombophlebitis migrans
DC5831,Dysuria
DC5833,Other cyst of bone_ site unspecified
DC5834,Benign neoplasm of  mediastinum
DC5835,Other cervical disc disorders
DC5836,Other transient cerebral ischemic attacks and related syndromes
DC5837,Obsessive-compulsive disorder_ unspecified
DC584,Other specified disorders of skin and subcutaneous tissue in diseases classified elsewhere
DC5840,Burn of second degree of hip and lower limb_ except ankle and foot
DC5841,Open wound of lower limb_ level unspecified
DC5845,Tumor Cells_ Malignant
DC5847,Delayed milestone
DC5848,Gout_ unspecified_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC5852,Chronic drug-induced interstitial lung disorders
DC5854,Joint disorder_ unspecified
DC5856,Retinopathy of prematurity
DC5857,Multiple injuries of ankle and foot
DC5858,Acute gastrojejunal ulcer with both hemorrhage and perforation
DC586,Malignant neoplasm of splenic flexure
DC5860,Ototoxic hearing loss
DC5862,Psoriasis_ unspecified
DC5863,Glaucoma secondary to other eye disorders
DC5864,Other proliferative retinopathy
DC5865,Postmenopausal osteoporosis_ other (head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC5866,Malignant neoplasm of anterior mediastinum
DC5868,Acute miliary tuberculosis of multiple sites
DC5869,Other Calcificataion of mulcle_ pelvic region and thigh(buttock_ femur_ pelvis_ hip joint_ sacroiliac joint)
DC587,Vitreous hemorrhage
DC5870,Injury of pleura_ without open wound into thoracic cavity
DC5871,Injury of digital nerve of other finger
DC5872,Hepatic fibrosis with hepatic sclerosis
DC5873,Sprain and strain of other and unspecified parts of hand
DC5876,Neonatal cardiac dysrhythmia
DC5879,Other and unspecified speech disturbances
DC5880,Carcinomatosis
DC5881,Peripheral T cell lymphoma
DC5882,Other infective spondylopathies_ site unspecified
DC5883,Malignant neoplasm of lesser curvature of stomach_ unspecified
DC5884,Antenatal screening for malformations using ultrasound and other physical methods
DC5885,Peritoneal adhesions
DC5886,Allergic purpura
DC5890,Benign neoplasm of peripheral nerves and autonomic nervous system
DC5891,Adjustment and management of cardiac pacemaker
DC5892,Vomiting associated with other psychological disturbances
DC5893,Traumatic amputation of one hand and other arm[any level_ except hand]
DC5895,Soft tissue disorder_ unspecified_ lower leg (fibula_ tibia_ knee joint)
DC5896,Carcinoma in situ of cervix uteri
DC5898,Paget'S Disease And Infiltrating Duct Carcinoma of Breast
DC590,Tinea nigra
DC5900,Elective mutism
DC5901,Exposure to unspecified smoke_ fire and flames_ unspecified place
DC5903,Major salivary gland_ unspecified
DC5904,Bullous disorder_ unspecified
DC5905,Degeneration of macula and posterior pole
DC5906,Neonatal rectal hemorrhage
DC5907,Algoneurodystrophy_ ankle and foot
DC5908,Gastrointestinal mucormycosis
DC591,Other spondylosis_ lumbar region
DC5911,Multiple myeloma
DC5912,Sequelae of other specified injuries of upper limb
DC5913,Burn of third degree_ body region unspecified
DC5914,Toxic effect of other ingested(parts of) plant(s)
DC5916,Superficial injury of lip and oral cavity_ other injury
DC5917,Malignant neoplasm of parotid gland
DC5918,Benign lipomatous neoplasm of other sites
DC5919,Vitamin A deficiency with conjunctival xerosis
DC5920,Disorders of diaphragm
DC5921,Pseudocyst of pancreas
DC5924,Immunosuppressive agents causing adverse effects in therapeutic use
DC5925,Joint derangements_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC5927,Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs
DC5928,Poisoning by and exposure to other and unspecified chemicals and noxious substances_ undetermined intent_ home
DC5929,Gout_ unspecified_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC5931,Internal derangement of knee_ unspecified_ Lateral collateral ligament or Anterior horn of lateral meniscus
DC5932,Other specified hypothyroidism
DC5933,Open wound of forearm_ part unspecified
DC5934,Other internal derangement of knee_ Medial collateral ligament or other and unspecified medial meniscus
DC5935,Other idiopathic scoliosis_ lumbosacral region
DC5936,Cerebral infarction due to thrombosis of cerebral arteries
DC5939,Foreign body in urethra
DC5940,Burns involving 30-39% of body surface
DC5942,Eclampsia in the puerperium
DC5943,Other specified arthropathies_ NEC_ site unspecified
DC5945,Dizziness and giddiness
DC5947,Hypertrophic elongation of cervix uteri
DC5949,Contusion of eyelid and periocular area
DC595,Noninfective gastroenteritis and colitis_ unspecified
DC5950,Nonunion of fracture[pseudarthrosis]_ forearm (radius_ ulna_ wrist joints)
DC5954,Systemic lupus erythematosus With tubule-interstitial neophropathy
DC5955,Basal Cell Tumor
DC5958,Congenital viral hepatitis
DC5959,Injury of multiple intra-abdominal organs_ without open wound into cavity
DC5964,Fracture of lower end of radius with volar angulation
DC5965,Gastro-esophageal reflux disease without esophagitis
